order_id,product_id,quantity
669,P-539,7
448,P-059,3
609,P-994,10
19,P-114,6
827,P-584,6
773,P-909,2
802,P-285,9
410,P-893,4
925,P-716,6
143,P-514,1
682,P-157,8
28,P-269,2
314,P-922,2
893,P-185,3
67,P-732,7
434,P-955,10
959,P-523,8
91,P-032,2
332,P-607,7
352,P-771,7
902,P-503,2
824,P-118,4
204,P-581,5
820,P-384,9
130,P-738,1
69,P-450,7
684,P-256,6
363,P-629,8
703,P-612,6
570,P-801,3
951,P-586,3
118,P-512,4
153,P-748,5
652,P-214,8
652,P-568,2
67,P-925,4
87,P-829,8
490,P-585,4
297,P-981,7
976,P-303,10
722,P-094,5
994,P-596,8
313,P-165,8
227,P-622,4
301,P-747,6
571,P-321,8
963,P-781,3
399,P-157,4
573,P-110,5
445,P-681,7
224,P-219,6
71,P-989,10
338,P-238,8
80,P-611,1
517,P-069,5
849,P-393,4
925,P-976,6
829,P-295,1
645,P-399,5
961,P-839,6
839,P-073,9
598,P-214,7
400,P-752,4
520,P-461,2
145,P-946,5
609,P-584,10
646,P-351,4
666,P-173,10
275,P-497,1
653,P-725,6
101,P-817,1
302,P-263,1
72,P-732,6
791,P-305,8
318,P-101,2
422,P-503,3
216,P-635,3
716,P-977,5
91,P-142,7
269,P-362,8
484,P-081,9
665,P-658,10
756,P-042,3
221,P-922,10
373,P-490,9
972,P-873,1
261,P-006,7
841,P-540,7
156,P-576,1
595,P-168,7
904,P-817,8
754,P-509,6
507,P-185,7
880,P-601,5
586,P-207,10
68,P-817,2
442,P-398,4
429,P-313,6
319,P-619,5
442,P-303,7
770,P-067,8
993,P-634,2
411,P-392,7
593,P-211,2
563,P-322,10
963,P-559,3
366,P-691,7
584,P-439,1
107,P-845,7
762,P-288,3
112,P-448,7
505,P-293,4
978,P-175,9
319,P-281,5
547,P-273,4
712,P-123,7
615,P-496,7
539,P-780,2
559,P-503,9
197,P-869,9
262,P-400,10
283,P-456,4
377,P-929,2
124,P-294,4
300,P-202,5
16,P-258,8
320,P-610,10
3,P-864,7
197,P-552,3
107,P-935,5
405,P-684,9
151,P-719,1
661,P-268,3
311,P-852,5
487,P-166,9
25,P-263,6
515,P-647,3
716,P-375,2
594,P-561,8
841,P-818,10
228,P-290,1
155,P-866,6
634,P-593,10
660,P-710,5
922,P-785,1
810,P-028,5
253,P-745,10
680,P-145,9
