order_id,customer_id,order_date,total_price
1,244,'2023-01-05 23:43:22',45000
2,8,'2023-03-29 10:24:31',25000
3,642,'2022-03-04 07:23:40',95000
4,163,'2021-01-29 21:42:27',105000
5,920,'2022-12-01 15:14:00',5000
6,634,'2021-12-18 17:55:54',15000
7,636,'2020-06-26 15:32:44',25000
8,488,'2022-03-07 09:24:28',15000
9,34,'2022-02-17 12:02:54',35000
10,34,'2021-05-05 15:16:27',55000
11,965,'2023-01-21 12:20:50',25000
12,707,'2021-02-15 02:51:27',85000
13,67,'2020-03-12 07:28:20',15000
14,886,'2021-11-05 03:31:32',115000
15,632,'2020-10-20 09:26:58',115000
16,914,'2023-08-13 07:14:45',105000
17,971,'2023-02-13 08:29:07',115000
18,316,'2020-04-04 01:23:22',95000
19,811,'2022-12-20 11:31:24',35000
20,769,'2023-05-31 03:53:00',105000
21,930,'2022-12-04 22:04:08',55000
22,298,'2021-06-06 20:28:46',25000
23,928,'2022-10-08 20:37:23',95000
24,469,'2022-02-04 02:57:32',5000
25,770,'2022-10-10 11:52:29',35000
26,138,'2020-12-28 09:19:38',55000
27,221,'2021-07-08 10:13:03',85000
28,230,'2020-08-15 01:14:20',85000
29,283,'2021-08-03 23:11:47',95000
30,677,'2023-10-04 20:29:36',35000
31,476,'2020-02-27 06:02:46',115000
32,636,'2021-04-05 06:09:57',115000
33,785,'2022-06-19 21:57:07',95000
34,893,'2023-12-12 23:27:58',55000
35,764,'2022-05-29 15:26:53',75000
36,945,'2020-07-07 02:30:59',115000
37,606,'2022-05-22 04:28:32',75000
38,342,'2021-11-16 06:54:10',25000
39,223,'2023-10-18 19:53:07',75000
40,816,'2023-04-21 16:28:43',95000
41,280,'2022-04-09 09:53:22',115000
42,358,'2021-03-15 13:54:47',35000
43,583,'2022-04-12 23:13:27',85000
44,979,'2023-10-06 12:28:58',55000
45,133,'2021-04-20 18:45:24',65000
46,497,'2022-09-20 16:44:18',95000
47,638,'2023-08-23 00:45:48',95000
48,618,'2023-09-13 10:45:51',35000
49,928,'2023-08-20 18:04:02',35000
50,843,'2023-08-24 17:43:18',35000
51,437,'2020-09-07 14:58:31',105000
52,952,'2020-04-12 07:09:51',115000
53,636,'2021-06-05 07:12:52',55000
54,742,'2020-12-31 21:59:15',35000
55,14,'2020-03-25 01:42:40',5000
56,178,'2021-07-12 14:04:16',15000
57,190,'2023-10-22 05:44:34',105000
58,357,'2023-12-15 16:09:24',115000
59,941,'2021-08-17 13:49:56',85000
60,908,'2023-01-06 10:39:04',65000
61,584,'2022-08-29 21:17:44',5000
62,695,'2022-07-19 16:00:52',5000
63,170,'2023-04-02 01:53:32',15000
64,843,'2021-06-14 00:00:09',95000
65,376,'2021-06-24 06:03:13',55000
66,593,'2020-06-25 09:46:56',45000
67,82,'2023-11-21 10:23:12',35000
68,755,'2022-12-06 23:06:18',95000
69,258,'2022-03-31 08:27:56',95000
70,657,'2020-07-04 13:13:19',55000
71,926,'2022-03-15 06:07:21',95000
72,840,'2020-04-11 13:36:37',115000
73,193,'2023-06-21 10:36:08',45000
74,195,'2023-11-18 04:11:50',85000
75,322,'2021-04-16 06:31:06',15000
76,739,'2022-03-05 09:52:11',105000
77,498,'2023-06-27 00:27:10',95000
78,730,'2021-05-20 14:41:05',45000
79,979,'2020-03-21 02:28:21',15000
80,236,'2021-02-10 03:45:01',115000
81,903,'2020-12-17 20:53:46',85000
82,462,'2021-09-08 18:44:30',75000
83,252,'2021-05-16 19:04:31',85000
84,456,'2022-10-08 09:38:06',35000
85,379,'2022-09-24 09:41:40',105000
86,476,'2023-11-22 06:20:45',105000
87,853,'2022-09-16 10:46:48',95000
88,165,'2021-05-29 04:35:05',105000
89,474,'2022-02-19 10:45:13',95000
90,130,'2022-04-18 02:22:14',115000
91,275,'2021-08-30 10:15:13',105000
92,381,'2023-08-03 00:01:23',65000
93,483,'2021-10-27 00:29:01',65000
94,98,'2022-03-25 12:07:35',25000
95,430,'2020-08-18 20:19:34',35000
96,439,'2022-08-03 14:29:20',35000
97,884,'2021-07-30 05:16:49',85000
98,389,'2020-05-20 08:50:14',75000
99,836,'2021-09-24 05:59:00',95000
100,740,'2023-12-20 13:17:58',75000
101,283,'2020-12-23 04:02:42',85000
102,75,'2021-01-09 13:45:23',85000
103,190,'2020-08-20 23:15:06',75000
104,12,'2022-05-30 21:41:10',5000
105,228,'2023-07-10 10:30:57',45000
106,571,'2020-03-24 09:55:15',75000
107,763,'2020-01-01 16:25:32',35000
108,73,'2022-04-29 11:36:23',55000
109,881,'2020-03-30 11:15:54',75000
110,905,'2022-05-31 00:46:42',5000
111,504,'2023-09-17 13:04:41',25000
112,53,'2022-12-03 17:13:59',35000
113,516,'2023-08-28 00:22:20',85000
114,918,'2023-04-18 10:48:59',45000
115,117,'2022-07-01 22:29:50',35000
116,439,'2023-11-26 19:42:36',5000
117,832,'2020-04-15 16:05:45',85000
118,23,'2022-07-31 21:26:47',35000
119,653,'2020-01-02 03:41:05',25000
120,855,'2021-02-08 23:08:45',45000
121,996,'2021-09-14 04:17:13',35000
122,511,'2020-12-21 09:14:37',85000
123,984,'2023-12-28 03:33:14',25000
124,789,'2023-11-11 17:12:07',65000
125,706,'2021-06-28 15:01:16',35000
126,247,'2021-10-08 18:34:19',45000
127,789,'2020-01-03 23:45:45',15000
128,215,'2020-07-28 12:14:27',85000
129,777,'2022-11-19 19:28:34',75000
130,541,'2022-07-26 17:00:01',75000
131,757,'2020-06-23 06:34:55',5000
132,744,'2020-03-03 21:23:36',75000
133,876,'2023-06-05 16:19:08',45000
134,223,'2023-04-11 20:52:26',105000
135,677,'2022-10-01 19:52:08',105000
136,962,'2021-12-27 11:35:33',65000
