product_id,product_name,price
P-000,Perum Utami Tbk,429
P-001,PD Padmasari,6127
P-002,Perum Pranowo (Persero) Tbk,3913
P-003,CV Mayasari,4532
P-004,UD Zulkarnain Lazuardi,5119
P-005,PT Najmudin Melani (Persero) Tbk,5852
P-006,CV Lailasari Zulaika,5473
P-007,UD Nasyiah (Persero) Tbk,4311
P-008,PD Latupono Fujiati (Persero) Tbk,513
P-009,CV Kusumo (Persero) Tbk,4730
P-010,CV Siregar Napitupulu (Persero) Tbk,4537
P-011,UD Prakasa Situmorang (Persero) Tbk,9249
P-012,CV Zulaika Setiawan,7971
P-013,PT Jailani Habibi Tbk,9103
P-014,PT Simanjuntak Najmudin,3557
P-015,UD Pudjiastuti,6241
P-016,CV Maulana Tbk,4073
P-017,UD Namaga Tbk,4535
P-018,PD Najmudin Prayoga Tbk,3610
P-019,PD Sihotang Prayoga,5658
P-020,PD Yulianti,1724
P-021,Perum Prasasta Hakim Tbk,3018
P-022,PT Saptono Tbk,3984
P-023,PD Yulianti (Persero) Tbk,4335
P-024,PT Sitompul (Persero) Tbk,3057
P-025,PT Yulianti,248
P-026,PT Prasasta,9041
P-027,PD Nashiruddin Oktaviani,9725
P-028,CV Prasetyo Pradipta Tbk,1663
P-029,UD Wibowo Kuswandari,9553
P-030,PT Laksmiwati,920
P-031,CV Hastuti Siregar (Persero) Tbk,5635
P-032,PD Sihombing Rajata (Persero) Tbk,8771
P-033,PD Hasanah Waskita (Persero) Tbk,231
P-034,PD Latupono (Persero) Tbk,1595
P-035,PD Dabukke Tbk,4394
P-036,UD Uwais Tbk,8595
P-037,UD Wahyudin,6024
P-038,PT Wahyudin,5908
P-039,PT Halim,5202
P-040,Perum Melani Widodo,3135
P-041,Perum Manullang Hutasoit Tbk,8823
P-042,PD Mandala,5985
P-043,UD Mardhiyah Tbk,7719
P-044,PT Waskita Winarsih Tbk,2864
P-045,PD Prasetya Saputra,2005
P-046,Perum Safitri Usamah,9246
P-047,PT Mangunsong,1464
P-048,UD Latupono Tbk,536
P-049,UD Putra Rajasa (Persero) Tbk,1267
P-050,UD Prasetyo,2770
P-051,UD Utami Kurniawan Tbk,7324
P-052,PD Pratama Hidayat,5170
P-053,Perum Hassanah Irawan Tbk,313
P-054,PT Iswahyudi Pratiwi,2211
P-055,UD Rahayu (Persero) Tbk,4839
P-056,PT Najmudin Mulyani,7611
P-057,UD Fujiati,8001
P-058,CV Najmudin Winarno,8925
P-059,Perum Latupono Habibi,8497
P-060,Perum Zulaika (Persero) Tbk,5134
P-061,UD Maheswara,9056
P-062,UD Hutagalung,931
P-063,PT Rajasa Sitompul,9565
P-064,Perum Farida Tbk,4519
P-065,UD Prakasa Wulandari,6834
P-066,Perum Setiawan (Persero) Tbk,4952
P-067,UD Irawan,4576
P-068,UD Gunawan Anggraini Tbk,1941
P-069,PD Wijayanti,9667
P-070,PT Wulandari,6481
P-071,Perum Santoso Hardiansyah,3581
P-072,UD Salahudin (Persero) Tbk,8848
P-073,PT Iswahyudi Tbk,7919
P-074,CV Nasyidah Wibowo (Persero) Tbk,8024
P-075,UD Saptono,5765
P-076,CV Kuswandari Permadi (Persero) Tbk,8576
P-077,Perum Halimah,2546
P-078,CV Andriani,6870
P-079,PD Mandala,9141
P-080,PT Nababan Adriansyah Tbk,9840
P-081,UD Hutagalung Purwanti,466
P-082,PT Yuliarti Wijayanti Tbk,544
P-083,Perum Padmasari Sudiati,9396
P-084,PT Prasetyo Hutagalung,7950
P-085,PT Nainggolan,4137
P-086,UD Putra Handayani,5179
P-087,Perum Wijaya Purwanti,1017
P-088,PD Samosir Sitompul,3867
P-089,UD Maryadi Yuliarti,9156
P-090,PT Andriani Tbk,2072
P-091,Perum Mulyani,6978
P-092,PD Pudjiastuti Maryati (Persero) Tbk,8456
P-093,PD Mahendra Tbk,6709
P-094,CV Dongoran Hasanah Tbk,7331
P-095,UD Tampubolon Prakasa,3256
P-096,PT Waskita Situmorang Tbk,2472
P-097,PD Manullang,6619
P-098,PD Haryanti Zulaika (Persero) Tbk,911
P-099,PT Puspita,7252
P-100,CV Saefullah Jailani,222
P-101,UD Nugroho Winarsih Tbk,2244
P-102,PD Kuswoyo,8395
P-103,PT Anggriawan Utama,6999
P-104,CV Fujiati Hastuti (Persero) Tbk,3709
P-105,Perum Dongoran Agustina,7962
P-106,Perum Mangunsong Thamrin,8731
P-107,Perum Damanik Riyanti,1003
P-108,Perum Wibisono Lestari,5239
P-109,CV Puspita Megantara,2327
P-110,CV Andriani Damanik,8219
P-111,PD Samosir Aryani,8306
P-112,Perum Siregar Laksita,8709
P-113,CV Rahimah (Persero) Tbk,6909
P-114,PD Wijaya Rahimah,3422
P-115,CV Riyanti Melani (Persero) Tbk,5423
P-116,Perum Sudiati,2731
P-117,Perum Mahendra Pertiwi,8630
P-118,Perum Megantara,4904
P-119,PD Dabukke Nashiruddin,9599
P-120,CV Januar Mandasari (Persero) Tbk,7311
P-121,UD Puspasari Setiawan,6631
P-122,Perum Salahudin,2521
P-123,Perum Wulandari (Persero) Tbk,5220
P-124,PD Yulianti,2640
P-125,PD Zulkarnain Habibi (Persero) Tbk,224
P-126,Perum Siregar Tbk,1113
P-127,UD Purnawati Sihotang Tbk,3679
P-128,UD Damanik Narpati,4628
P-129,PT Suryono Tbk,423
P-130,CV Palastri,5298
P-131,UD Tampubolon (Persero) Tbk,6846
P-132,PD Yuniar Wastuti,2203
P-133,PT Farida,836
P-134,UD Prabowo (Persero) Tbk,1877
P-135,PD Permadi (Persero) Tbk,7567
P-136,Perum Anggraini (Persero) Tbk,2174
P-137,PT Lestari Permadi,7550
P-138,UD Safitri Utama,1274
P-139,CV Simanjuntak,1694
P-140,PT Nurdiyanti Hassanah,98
P-141,PD Najmudin Sirait Tbk,4731
P-142,UD Wahyuni,3024
P-143,PT Samosir (Persero) Tbk,5800
P-144,PT Hartati Samosir (Persero) Tbk,2517
P-145,PT Sihotang Rajasa,974
P-146,CV Hastuti (Persero) Tbk,6954
P-147,PD Samosir Napitupulu (Persero) Tbk,8967
P-148,UD Nurdiyanti,4522
